rbid,family,variant
4059,legacy,legacy_table
4060,legacy,legacy_table
4061,legacy,legacy_table
5071,word,word_blockbase
5072,word,word_blockbase
5073,word,word_blockbase
5074,word,word_blockbase
5075,word,word_blockbase
5076,word,word_blockbase
5077,word,word_blockbase
5078,word,word_blockbase
5079,word,word_blockbase
5080,word,word_blockbase
5081,word,word_blockbase
5082,word,word_blockbase
5083,word,word_blockbase
5084,word,word_blockbase
5085,word,word_blockbase
5086,word,word_blockbase
5087,word,word_blockbase
5088,word,word_blockbase
5089,word,word_blockbase
5090,word,word_blockbase
5091,word,word_blockbase
5093,word,word_blockbase
5094,word,word_blockbase
5095,word,word_blockbase
5096,word,word_blockbase
5097,word,word_blockbase
5098,word,word_blockbase
5099,word,word_blockbase
5100,word,word_blockbase
5101,word,word_blockbase
5102,word,word_blockbase
5103,word,word_blockbase
5104,word,word_blockbase
5105,word,word_blockbase
5106,word,word_blockbase
5107,word,word_blockbase
5108,word,word_blockbase
5109,word,word_blockbase
5110,word,word_blockbase
5111,word,word_blockbase
5112,word,word_blockbase
5113,word,word_blockbase
5114,word,word_blockbase
5136,word,word_blockbase
5137,word,word_blockbase
5138,word,word_blockbase
5139,word,word_blockbase
5140,word,word_documenthead
5141,word,word_documenthead
5142,word,word_blockbase
5143,word,word_blockbase
5144,word,word_blockbase
5145,word,word_blockbase
5147,word,word_blockbase
5148,word,word_blockbase
5149,word,word_blockbase
5150,word,word_blockbase
5151,word,word_documenthead
5152,word,word_blockbase
5153,word,word_blockbase
5154,word,word_blockbase
5155,word,word_blockbase
5156,word,word_blockbase
5157,word,word_blockbase
5158,word,word_blockbase
5159,word,word_blockbase
5160,word,word_blockbase
5161,word,word_blockbase
5162,word,word_blockbase
5163,word,word_blockbase
5164,word,word_blockbase
5166,word,word_blockbase
5167,word,word_blockbase
5169,word,word_blockbase
5170,word,word_blockbase
5171,word,word_blockbase
5172,word,word_blockbase
5173,word,word_blockbase
5174,word,word_blockbase
5175,word,word_blockbase
5176,word,word_blockbase
5177,word,word_blockbase
5178,word,word_blockbase
5179,word,word_blockbase
5180,word,word_blockbase
5181,word,word_blockbase
5182,word,word_blockbase
5183,word,word_blockbase
5184,word,word_blockbase
5185,word,word_blockbase
5186,word,word_blockbase
5187,word,word_blockbase
5189,word,word_blockbase
5190,word,word_blockbase
5191,word,word_blockbase
5192,word,word_blockbase
5193,word,word_blockbase
5194,word,word_blockbase
5195,word,word_blockbase
5196,word,word_blockbase
5197,word,word_blockbase
5198,word,word_blockbase
5199,word,word_blockbase
5200,word,word_blockbase
5201,word,word_blockbase
5202,word,word_blockbase
5203,word,word_blockbase
5204,word,word_blockbase
5205,word,word_blockbase
5206,word,word_blockbase
5207,word,word_blockbase
5208,word,word_blockbase
5209,word,word_blockbase
5210,word,word_blockbase
5211,word,word_blockbase
5212,word,word_blockbase
5214,word,word_blockbase
5215,word,word_blockbase
5216,word,word_blockbase
5217,word,word_blockbase
5218,word,word_blockbase
5219,word,word_blockbase
5220,word,word_blockbase
5221,word,word_blockbase
5222,word,word_blockbase
5223,word,word_blockbase
5224,word,word_blockbase
5225,word,word_blockbase
5226,word,word_blockbase
5227,word,word_blockbase
5228,word,word_blockbase
5229,word,word_blockbase
5230,word,word_blockbase
5231,word,word_blockbase
5232,word,word_blockbase
5233,word,word_blockbase
5234,word,word_blockbase
5235,word,word_blockbase
5236,word,word_blockbase
5237,word,word_blockbase
5238,word,word_blockbase
5239,word,word_blockbase
5240,word,word_blockbase
5241,word,word_blockbase
5242,word,word_blockbase
5243,word,word_blockbase
5244,word,word_blockbase
5245,word,word_blockbase
5246,word,word_blockbase
5247,word,word_blockbase
5248,word,word_blockbase
5249,word,word_blockbase
5250,word,word_blockbase
5254,word,word_blockbase
5255,word,word_blockbase
5257,word,word_blockbase
5258,word,word_blockbase
5259,word,word_blockbase
5260,word,word_blockbase
5261,word,word_blockbase
5262,word,word_blockbase
5263,word,word_blockbase
5264,word,word_blockbase
5265,word,word_blockbase
5266,word,word_blockbase
5267,word,word_blockbase
5268,word,word_blockbase
5269,word,word_blockbase
5271,word,word_blockbase
5272,word,word_blockbase
5273,word,word_blockbase
5275,word,word_blockbase
5277,word,word_blockbase
5278,word,word_blockbase
5279,word,word_blockbase
5280,word,word_blockbase
5281,word,word_blockbase
5284,word,word_blockbase
5285,word,word_blockbase
5286,word,word_blockbase
5287,word,word_blockbase
5288,word,word_blockbase
5289,word,word_blockbase
5290,word,word_blockbase
5291,word,word_blockbase
5292,word,word_blockbase
5293,word,word_blockbase
5295,word,word_blockbase
5297,word,word_blockbase
5298,word,word_blockbase
5300,word,word_blockbase
5302,word,word_blockbase
5303,word,word_blockbase
5304,word,word_blockbase
5305,word,word_blockbase
5306,word,word_blockbase
5307,word,word_blockbase
5308,word,word_blockbase
5309,word,word_blockbase
5310,word,word_blockbase
5311,word,word_blockbase
5312,word,word_blockbase
5313,word,word_blockbase
5315,legacy,legacy_table
5318,legacy,legacy_table
5321,word,word_blockbase
5325,word,word_blockbase
5587,word,word_blockbase
5588,legacy,legacy_table
5591,word,word_blockbase
5592,word,word_blockbase
5603,legacy,legacy_table
5621,legacy,legacy_table
5622,word,word_blockbase
5623,word,word_blockbase
5624,word,word_blockbase
5626,legacy,legacy_table
5627,word,word_blockbase
5628,word,word_blockbase
5632,legacy,legacy_table
5633,word,word_blockbase
5634,word,word_blockbase
5637,legacy,legacy_table
5889,word,word_blockbase
5891,legacy,legacy_table
5895,legacy,legacy_table
5899,legacy,legacy_table
5901,legacy,legacy_table
5903,legacy,legacy_table
5904,word,word_blockbase
5912,word,word_blockbase
5915,word,word_blockbase
5925,word,word_blockbase
5930,legacy,legacy_table
5933,legacy,legacy_table
5941,word,word_blockbase
5945,word,word_blockbase
5946,legacy,legacy_table
5947,legacy,legacy_table
5949,legacy,legacy_table
5950,word,word_blockbase
5951,word,word_blockbase
5952,word,word_blockbase
5956,word,word_blockbase
5961,legacy,legacy_table
5966,word,word_blockbase
5968,legacy,legacy_table
5971,legacy,legacy_table
5972,word,word_blockbase
5974,word,word_blockbase
5977,word,word_blockbase
5980,legacy,legacy_table
5981,word,word_blockbase
5982,word,word_blockbase
5986,word,word_blockbase
5987,word,word_blockbase
5988,word,word_blockbase
5989,legacy,legacy_table
5993,word,word_blockbase
5994,word,word_blockbase
5995,word,word_blockbase
5996,word,word_blockbase
5998,word,word_blockbase
6000,legacy,legacy_table
6001,word,word_blockbase
6002,word,word_blockbase
6014,legacy,legacy_table
6015,word,word_blockbase
6016,legacy,legacy_table
6017,legacy,legacy_table
6021,word,word_blockbase
6024,word,word_blockbase
6027,word,word_blockbase
6029,word,word_blockbase
6030,word,word_blockbase
6032,word,word_blockbase
6037,legacy,legacy_table
6038,word,word_blockbase
6039,word,word_blockbase
6042,word,word_blockbase
6044,word,word_blockbase
6046,word,word_blockbase
6054,word,word_blockbase
6058,word,word_blockbase
6064,word,word_blockbase
6067,legacy,legacy_table
6070,word,word_blockbase
6071,legacy,legacy_table
6074,legacy,legacy_table
6079,legacy,legacy_table
6082,word,word_blockbase
6084,word,word_blockbase
6087,word,word_blockbase
6090,legacy,legacy_table
6091,word,word_blockbase
6092,legacy,legacy_table
6093,legacy,legacy_table
6094,word,word_blockbase
6097,legacy,legacy_table
6098,word,word_blockbase
6099,word,word_blockbase
6101,legacy,legacy_table
6103,legacy,legacy_table
6104,word,word_blockbase
6105,legacy,legacy_table
6106,word,word_blockbase
6107,word,word_blockbase
6108,legacy,legacy_table
6110,legacy,legacy_table
6111,word,word_blockbase
6113,legacy,legacy_table
6115,word,word_blockbase
6118,legacy,legacy_table
6120,word,word_blockbase
6123,word,word_blockbase
6125,word,word_blockbase
6126,legacy,legacy_table
6128,legacy,legacy_table
6129,word,word_blockbase
6130,word,word_blockbase
6131,word,word_blockbase
6132,word,word_blockbase
6137,legacy,legacy_table
6139,legacy,legacy_table
6141,legacy,legacy_table
6142,word,word_blockbase
6143,word,word_blockbase
6145,word,word_blockbase
6146,word,word_blockbase
6147,word,word_blockbase
6148,word,word_blockbase
6149,word,word_blockbase
6151,legacy,legacy_table
6153,legacy,legacy_table
6154,legacy,legacy_table
6156,legacy,legacy_table
6157,legacy,legacy_table
6158,word,word_blockbase
6159,word,word_blockbase
6160,word,word_blockbase
6163,legacy,legacy_table
6164,word,word_blockbase
6165,word,word_blockbase
6166,word,word_blockbase
6167,word,word_blockbase
6168,word,word_blockbase
6169,word,word_blockbase
6170,legacy,legacy_table
6171,word,word_blockbase
